Name of the Bacteria,Antibiotic Prescribed,MIC Value,Interpretation
ENTEROCOCCUS SP.,NITROFURANTOIN,16.0,S
ENTEROCOCCUS SP.,AMPICILLIN,2.0,S
ENTEROCOCCUS SP.,VANCOMYCIN,2.0,S
ENTEROCOCCUS SP.,LEVOFLOXACIN,1.0,S
ENTEROBACTERIACEAE,IMIPENEM,1.0,S
ENTEROBACTERIACEAE,PIPERACILLIN,4.0,S
ENTEROBACTERIACEAE,CEFTRIAXONE,1.0,S
ENTEROBACTERIACEAE,CIPROFLOXACIN,0.5,S
ENTEROBACTERIACEAE,CEFTAZIDIME,1.0,S
ENTEROBACTERIACEAE,TRIMETHOPRIM/SULFA,20.0,S
ENTEROBACTERIACEAE,MEROPENEM,0.25,S
ENTEROBACTERIACEAE,TOBRAMYCIN,1.0,S
ENTEROBACTERIACEAE,MEROPENEM,0.25,S
ENTEROBACTERIACEAE,CEFEPIME,1.0,S
ENTEROBACTERIACEAE,CEFEPIME,1.0,S
ENTEROBACTERIACEAE,PIPERACILLIN/TAZO,4.0,S
ENTEROBACTERIACEAE,IMIPENEM,1.0,S
ENTEROBACTERIACEAE,LEVOFLOXACIN,1.0,S
ENTEROBACTERIACEAE,CIPROFLOXACIN,0.5,S
ENTEROBACTERIACEAE,CEFTRIAXONE,1.0,S
ENTEROBACTERIACEAE,CEFTAZIDIME,1.0,S
ENTEROBACTERIACEAE,GENTAMICIN,1.0,S
ENTEROBACTERIACEAE,TRIMETHOPRIM/SULFA,20.0,S
ENTEROBACTERIACEAE,TOBRAMYCIN,1.0,S
ENTEROBACTERIACEAE,GENTAMICIN,1.0,S
ENTEROBACTERIACEAE,LEVOFLOXACIN,1.0,S
ENTEROBACTERIACEAE,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,16.0,R
ESCHERICHIA COLI,CEFTRIAXONE,1.0,S
ESCHERICHIA COLI,GENTAMICIN,1.0,S
ESCHERICHIA COLI,CEFTAZIDIME,1.0,S
ESCHERICHIA COLI,TOBRAMYCIN,1.0,S
ESCHERICHIA COLI,CEFUROXIME,4.0,S
ESCHERICHIA COLI,CEFEPIME,1.0,S
ESCHERICHIA COLI,CIPROFLOXACIN,4.0,R
ESCHERICHIA COLI,MEROPENEM,0.25,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,4.0,S
ESCHERICHIA COLI,IMIPENEM,1.0,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,8.0,S
ESCHERICHIA COLI,CEFAZOLIN,4.0,S
ESCHERICHIA COLI,AMPICILLIN,32.0,R
ESCHERICHIA COLI,NITROFURANTOIN,16.0,S
SERRATIA MARCESCENS,NITROFURANTOIN,128.0,R
ENTEROCOCCUS SP.,LINEZOLID,2.0,S
SERRATIA MARCESCENS,CEFTRIAXONE,1.0,S
SERRATIA MARCESCENS,CEFTAZIDIME,1.0,S
SERRATIA MARCESCENS,PIPERACILLIN,4.0,S
SERRATIA MARCESCENS,IMIPENEM,1.0,S
SERRATIA MARCESCENS,CIPROFLOXACIN,0.25,S
SERRATIA MARCESCENS,LEVOFLOXACIN,0.25,S
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,4.0,S
SERRATIA MARCESCENS,CEFEPIME,1.0,S
ENTEROCOCCUS SP.,TETRACYCLINE,16.0,R
ENTEROCOCCUS SP.,AMPICILLIN,32.0,R
ENTEROCOCCUS SP.,VANCOMYCIN,32.0,R
SERRATIA MARCESCENS,MEROPENEM,0.25,S
SERRATIA MARCESCENS,TRIMETHOPRIM/SULFA,1.0,S
SERRATIA MARCESCENS,GENTAMICIN,1.0,S
SERRATIA MARCESCENS,TOBRAMYCIN,2.0,S
ENTEROCOCCUS SP.,VANCOMYCIN,32.0,R
ENTEROCOCCUS SP.,NITROFURANTOIN,256.0,R
ENTEROCOCCUS SP.,LINEZOLID,2.0,S
ENTEROCOCCUS SP.,TETRACYCLINE,1.0,S
ENTEROCOCCUS SP.,AMPICILLIN,32.0,R
KLEBSIELLA PNEUMONIAE,GENTAMICIN,1.0,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,0.25,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,1.0,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,4.0,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,1.0,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4.0,S
KLEBSIELLA PNEUMONIAE,IMIPENEM,1.0,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,0.25,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,1.0,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,1.0,S
