Name of the Bacteria,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
ENTEROCOCCUS SP.,AMOXICILLIN CLAVULANIC ACID,0,0,0
ENTEROCOCCUS SP.,AMPICILLIN,0,0,0
ENTEROCOCCUS SP.,AMPICILLIN/SULBACTAM,0,0,0
ENTEROCOCCUS SP.,CIPROFLOXACIN,0,0,0
ENTEROCOCCUS SP.,GENTAMICIN (High Dose),0,0,0
ENTEROCOCCUS SP.,LEVOFLOXACIN,0,0,0
ENTEROCOCCUS SP.,LINEZOLID,0,0,0
ENTEROCOCCUS SP.,NITROFURANTOIN,0,0,0
ENTEROCOCCUS SP.,NORFLOXACIN,0,0,0
ENTEROCOCCUS SP.,OFLOXACIN,0,0,0
ENTEROCOCCUS SP.,PENICILLIN,0,0,0
ENTEROCOCCUS SP.,PIPERACILLIN,0,0,0
ENTEROCOCCUS SP.,PIPERACILLIN/TAZO,0,0,0
ENTEROCOCCUS SP.,TETRACYCLINE,0,0,0
ENTEROCOCCUS SP.,TICARCILLIN,0,0,0
ENTEROCOCCUS SP.,TRIMETHOPRIM/SULFA,0,0,0
ENTEROCOCCUS SP.,VANCOMYCIN,0,0,0
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,0,0,0
ESCHERICHIA COLI,AMPICILLIN,0,0,0
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,0,0,0
ESCHERICHIA COLI,CEFAZOLIN,0,0,0
ESCHERICHIA COLI,CEFEPIME,0,0,0
ESCHERICHIA COLI,CEFIXIME,0,0,0
ESCHERICHIA COLI,CEFOXITIN,0,0,0
ESCHERICHIA COLI,CEFTAZIDIME,0,0,0
ESCHERICHIA COLI,CEFTRIAXONE,0,0,0
ESCHERICHIA COLI,CIPROFLOXACIN,0,0,0
ESCHERICHIA COLI,ERTAPENEM,0,0,0
ESCHERICHIA COLI,GENTAMICIN,0,0,0
ESCHERICHIA COLI,IMIPENEM,0,0,0
ESCHERICHIA COLI,LEVOFLOXACIN,0,0,0
ESCHERICHIA COLI,MEROPENEM,0,0,0
ESCHERICHIA COLI,NITROFURANTOIN,0,0,0
ESCHERICHIA COLI,PIPERACILLIN/TAZO,0,0,0
ESCHERICHIA COLI,TETRACYCLINE,0,0,0
ESCHERICHIA COLI,TOBRAMYCIN,0,0,0
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,0,0,0
KLEBSIELLA OXYTOCA ,AMOXICILLIN CLAVULANIC ACID,0,0,0
KLEBSIELLA OXYTOCA ,CEFAZOLIN,0,0,0
KLEBSIELLA OXYTOCA ,CEFEPIME,0,0,0
KLEBSIELLA OXYTOCA ,CEFTAZIDIME,0,0,0
KLEBSIELLA OXYTOCA ,CEFTRIAXONE,0,0,0
KLEBSIELLA OXYTOCA ,CIPROFLOXACIN,0,0,0
KLEBSIELLA OXYTOCA ,ERTAPENEM,0,0,0
KLEBSIELLA OXYTOCA ,GENTAMICIN,0,0,0
KLEBSIELLA OXYTOCA ,IMIPENEM,0,0,0
KLEBSIELLA OXYTOCA ,LEVOFLOXACIN,0,0,0
KLEBSIELLA OXYTOCA ,MEROPENEM,0,0,0
KLEBSIELLA OXYTOCA ,PIPERACILLIN/TAZO,0,0,0
KLEBSIELLA OXYTOCA ,TETRACYCLINE,0,0,0
KLEBSIELLA OXYTOCA ,TOBRAMYCIN,0,0,0
KLEBSIELLA OXYTOCA ,TRIMETHOPRIM/SULFA,0,0,0
KLEBSIELLA PNEUMONIAE,AMOXICILLIN CLAVULANIC ACID,0,0,0
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,0,0,0
KLEBSIELLA PNEUMONIAE,CEFEPIME,0,0,0
KLEBSIELLA PNEUMONIAE,CEFIXIME,0,0,0
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,0,0,0
