Name of the Bacteria,Antibiotic Prescribed,Sensitive (S),Intermediate (I),Resistance (R)
ENTEROCOCCUS SP.,AMOXICILLIN CLAVULANIC ACID,<=2,4-7,>=8
ENTEROCOCCUS SP.,AMPICILLIN,<=2,4-7,>=8
ENTEROCOCCUS SP.,AMPICILLIN/SULBACTAM,<=2,4-7,>=8
ENTEROCOCCUS SP.,CIPROFLOXACIN,<=1,2-3,>=4
ENTEROCOCCUS SP.,GENTAMICIN (High Dose),<=500,NA,>=500
ENTEROCOCCUS SP.,LEVOFLOXACIN,<=1,2-3,>=4
ENTEROCOCCUS SP.,LINEZOLID,<=4,NA,>=8
ENTEROCOCCUS SP.,NITROFURANTOIN,<=31,32-63,>=64
ENTEROCOCCUS SP.,NORFLOXACIN,<=1,2-3,>=4
ENTEROCOCCUS SP.,OFLOXACIN,<=1,2-3,>=4
ENTEROCOCCUS SP.,PENICILLIN,<=2,4-7,>=8
ENTEROCOCCUS SP.,PIPERACILLIN,<=4,8-15,>=16
ENTEROCOCCUS SP.,PIPERACILLIN/TAZO,<=4,8-15,>=16
ENTEROCOCCUS SP.,TETRACYCLINE,<=2,4-7,>=8
ENTEROCOCCUS SP.,TICARCILLIN,<=4,8-15,>=16
ENTEROCOCCUS SP.,TRIMETHOPRIM/SULFA,<=1,2-3,>=4
ENTEROCOCCUS SP.,VANCOMYCIN,<=1,2-3,>=4
ESCHERICHIA COLI,AMOXICILLIN CLAVULANIC ACID,<=2,4-7,>=8
ESCHERICHIA COLI,AMPICILLIN,<=2,4-7,>=8
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,<=2,4-7,>=8
ESCHERICHIA COLI,CEFAZOLIN,<=7,8-15,>=16
ESCHERICHIA COLI,CEFEPIME,<=3,4-7,>=8
ESCHERICHIA COLI,CEFIXIME,<=1,2-3,>=4
ESCHERICHIA COLI,CEFOXITIN,<=3,4-7,>=8
ESCHERICHIA COLI,CEFTAZIDIME,<=3,4-7,>=8
ESCHERICHIA COLI,CEFTRIAXONE,<=3,4-7,>=8
ESCHERICHIA COLI,CIPROFLOXACIN,<=0.25,0.5,>=1
ESCHERICHIA COLI,ERTAPENEM,<=0.12,0.25,>=0.5
ESCHERICHIA COLI,GENTAMICIN,<=1,2-3,>=4
ESCHERICHIA COLI,IMIPENEM,<=0.12,0.5-0.25,>=1
ESCHERICHIA COLI,LEVOFLOXACIN,<=0.5,1,>=2
ESCHERICHIA COLI,MEROPENEM,<=0.12,0.5-0.25,>=1
ESCHERICHIA COLI,NITROFURANTOIN,<=63,64-127,>=128
