Name of the Bacteria ,Antibiotic Prescribed,MIC Value,Interpretation
ENTEROCOCCUS SP.,NITROFURANTOIN,<=16,S
ENTEROCOCCUS SP.,AMPICILLIN,<=2,S
ENTEROCOCCUS SP.,VANCOMYCIN,2,S
ENTEROCOCCUS SP.,LEVOFLOXACIN,1,S
ENTEROBACTERIACEAE,IMIPENEM,<=1,S
ENTEROBACTERIACEAE,PIPERACILLIN,<=4,S
ENTEROBACTERIACEAE,CEFTRIAXONE,<=1,S
ENTEROBACTERIACEAE,CIPROFLOXACIN,0.5,S
ENTEROBACTERIACEAE,CEFTAZIDIME,<=1,S
ENTEROBACTERIACEAE,TRIMETHOPRIM/SULFA,<=20,S
ENTEROBACTERIACEAE,MEROPENEM,<=0.25,S
ENTEROBACTERIACEAE,TOBRAMYCIN,<=1,S
ENTEROBACTERIACEAE,MEROPENEM,<=0.25,S
ENTEROBACTERIACEAE,CEFEPIME,<=1,S
ENTEROBACTERIACEAE,CEFEPIME,<=1,S
ENTEROBACTERIACEAE,PIPERACILLIN/TAZO,<=4,S
ENTEROBACTERIACEAE,IMIPENEM,<=1,S
ENTEROBACTERIACEAE,LEVOFLOXACIN,1,S
ENTEROBACTERIACEAE,CIPROFLOXACIN,<=0.5,S
ENTEROBACTERIACEAE,CEFTRIAXONE,<=1,S
ENTEROBACTERIACEAE,CEFTAZIDIME,<=1,S
ENTEROBACTERIACEAE,GENTAMICIN,<=1,S
ENTEROBACTERIACEAE,TRIMETHOPRIM/SULFA,<=20,S
ENTEROBACTERIACEAE,TOBRAMYCIN,<=1,S
ENTEROBACTERIACEAE,GENTAMICIN,<=1,S
ENTEROBACTERIACEAE,LEVOFLOXACIN,1,S
ENTEROBACTERIACEAE,PIPERACILLIN/TAZO,<=4,S
ESCHERICHIA COLI,TRIMETHOPRIM/SULFA,=>16,R
ESCHERICHIA COLI,CEFTRIAXONE,<=1,S
ESCHERICHIA COLI,GENTAMICIN,<=1,S
ESCHERICHIA COLI,CEFTAZIDIME,<=1,S
ESCHERICHIA COLI,TOBRAMYCIN,<=1,S
ESCHERICHIA COLI,CEFUROXIME,4,S
ESCHERICHIA COLI,CEFEPIME,<=1,S
ESCHERICHIA COLI,CIPROFLOXACIN,=>4,R
ESCHERICHIA COLI,MEROPENEM,<=0.25,S
ESCHERICHIA COLI,PIPERACILLIN/TAZO,<=4,S
ESCHERICHIA COLI,IMIPENEM,<=1,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,8,S
ESCHERICHIA COLI,CEFAZOLIN,<=4,S
ESCHERICHIA COLI,AMPICILLIN,=>32,R
ESCHERICHIA COLI,NITROFURANTOIN,<=16,S
SERRATIA MARCESCENS,NITROFURANTOIN,128,R
ENTEROCOCCUS SP.,LINEZOLID,2,S
SERRATIA MARCESCENS,CEFTRIAXONE,<=1,S
SERRATIA MARCESCENS,CEFTAZIDIME,<=1,S
SERRATIA MARCESCENS,PIPERACILLIN,<=4,S
SERRATIA MARCESCENS,IMIPENEM,<=1,S
SERRATIA MARCESCENS,CIPROFLOXACIN,<=0.25,S
SERRATIA MARCESCENS,LEVOFLOXACIN,<=0.25,S
SERRATIA MARCESCENS,PIPERACILLIN/TAZO,<=4,S
SERRATIA MARCESCENS,CEFEPIME,<=1,S
ENTEROCOCCUS SP.,TETRACYCLINE,=>16,R
ENTEROCOCCUS SP.,AMPICILLIN,=>32,R
ENTEROCOCCUS SP.,VANCOMYCIN,=>32,R
SERRATIA MARCESCENS,MEROPENEM,<=0.25,S
SERRATIA MARCESCENS,TRIMETHOPRIM/SULFA,<=1,S
SERRATIA MARCESCENS,GENTAMICIN,<=1,S
SERRATIA MARCESCENS,TOBRAMYCIN,2,S
ENTEROCOCCUS SP.,VANCOMYCIN,=>32,R
ENTEROCOCCUS SP.,NITROFURANTOIN,256,R
ENTEROCOCCUS SP.,LINEZOLID,2,S
ENTEROCOCCUS SP.,TETRACYCLINE,<=1,S
ENTEROCOCCUS SP.,AMPICILLIN,=>32,R
KLEBSIELLA PNEUMONIAE,GENTAMICIN,<=1,S
KLEBSIELLA PNEUMONIAE,MEROPENEM,<=0.25,S
KLEBSIELLA PNEUMONIAE,CEFEPIME,<=1,S
KLEBSIELLA PNEUMONIAE,PIPERACILLIN/TAZO,<=4,S
KLEBSIELLA PNEUMONIAE,CEFUROXIME,<=1,S
KLEBSIELLA PNEUMONIAE,AMPICILLIN/SULBACTAM,4,S
KLEBSIELLA PNEUMONIAE,IMIPENEM,<=1,S
KLEBSIELLA PNEUMONIAE,CIPROFLOXACIN,<=0.25,S
KLEBSIELLA PNEUMONIAE,CEFTAZIDIME,<=1,S
KLEBSIELLA PNEUMONIAE,TRIMETHOPRIM/SULFA,<=1,S
KLEBSIELLA PNEUMONIAE,CEFAZOLIN,<=4,S
KLEBSIELLA PNEUMONIAE,TOBRAMYCIN,<=1,S
KLEBSIELLA PNEUMONIAE,CEFTRIAXONE,<=1,S
KLEBSIELLA PNEUMONIAE,NITROFURANTOIN,32,S
ESCHERICHIA COLI,TOBRAMYCIN,<=1,S
ESCHERICHIA COLI,AMPICILLIN/SULBACTAM,=>32,R
